database_version,material_id,formula,composition_key,elements,n_elements,spacegroup_no,crystal_system,e_above_hull,band_gap,theoretical,icsd_ids,pauling_ids,last_updated,disposition,disposition_reason,ranking_score,ensemble_spread,ad_distance,screen_rank,evidence_state
2026.04.13,mp-753720,Li3BiS3,Bi:0.14285714|Li:0.42857143|S:0.42857143,Bi;Li;S,3,148,Trigonal,0.0251350499999993,2.4456999999999995,True,,,2021-02-20 06:23:23.911000+00:00,screen_candidate,outside OBELiX composition set,-6.872826272147765,0.27705860008824756,8.507954906645585,170,unflagged
2026.04.13,mp-753737,Li3CuS2,Cu:0.16666667|Li:0.50000000|S:0.33333333,Cu;Li;S,3,60,Orthorhombic,0.0420377908333309,1.981,True,,,2021-02-24 14:59:25.231000+00:00,redox_electronic_risk,Cu,-6.467816156777384,0.3350109173129305,4.681600246374616,143,not_applicable
2026.04.13,mp-753968,Li2WS4,Li:0.28571429|S:0.57142857|W:0.14285714,Li;S;W,3,62,Orthorhombic,0.0481094799999999,1.6913,True,,,2021-02-22 22:04:27.487000+00:00,redox_electronic_risk,W,-6.024220813617544,0.31714556020978035,10.900119699432995,95,not_applicable
2026.04.13,mp-754856,Li7Y7ZrS16,Li:0.22580645|S:0.51612903|Y:0.22580645|Zr:0.03225806,Li;S;Y;Zr,4,10,Monoclinic,0.0066656554838706,1.7430999999999996,True,,,2021-02-09 00:15:45.132000+00:00,screen_candidate,outside OBELiX composition set,-5.396860806851931,0.23769515375204342,8.739977643662764,68,high_score_lower_risk
2026.04.13,mp-755139,Li5BiS4,Bi:0.10000000|Li:0.50000000|S:0.40000000,Bi;Li;S,3,71,Orthorhombic,0.0450513479999994,1.7858000000000005,True,,,2021-02-24 03:13:47.481000+00:00,screen_candidate,outside OBELiX composition set,-5.390057181948376,0.16677333211987702,7.94535176724383,67,high_score_lower_risk
2026.04.13,mp-755243,Li5CuSO2,Cu:0.11111111|Li:0.55555556|O:0.22222222|S:0.11111111,Cu;Li;O;S,4,123,Tetragonal,0.0454532218402761,2.3831999999999995,True,,,2021-02-20 15:33:30.609000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-4.969245867809378,0.35978182082754717,5.399752046082572,44,not_applicable
2026.04.13,mp-755309,Li3NbS4,Li:0.37500000|Nb:0.12500000|S:0.50000000,Li;Nb;S,3,215,Cubic,0.007749648684209,2.7598,True,,,2023-10-08 06:55:16.125000+00:00,screen_candidate,outside OBELiX composition set,-6.525524201740136,0.30832930445300505,6.2367337959368925,150,unflagged
2026.04.13,mp-755463,Li3SbS3,Li:0.42857143|S:0.42857143|Sb:0.14285714,Li;S;Sb,3,148,Trigonal,0.0384765664285708,2.0988,True,,,2021-02-24 15:25:42.395000+00:00,obelix_composition_reference,measured composition in OBELiX,-8.481216064358739,0.31153525590524583,2.6957350719979525,225,not_applicable
2026.04.13,mp-755642,Li3VS4,Li:0.37500000|S:0.50000000|V:0.12500000,Li;S;V,3,31,Orthorhombic,0.0368200287499984,1.6175,True,,,2021-02-16 13:05:35.865000+00:00,redox_electronic_risk,V,-6.895979979081939,0.3460970007328359,5.145792211636639,172,not_applicable
2026.04.13,mp-756198,Li14Mn2S9,Li:0.56000000|Mn:0.08000000|S:0.36000000,Li;Mn;S,3,147,Trigonal,0.0002643452000041,1.7707,True,,,2021-12-30 05:01:13.118000+00:00,redox_electronic_risk,Mn,-6.168645455921686,0.2579782020349643,5.1350890018103765,112,not_applicable
2026.04.13,mp-756316,Li3SbS4,Li:0.37500000|S:0.50000000|Sb:0.12500000,Li;S;Sb,3,31,Orthorhombic,0.0,2.1452,True,,,2021-03-14 07:02:38.944000+00:00,obelix_composition_reference,measured composition in OBELiX,-7.9830328404181925,0.1932459311682185,2.9776745801603193,213,not_applicable
2026.04.13,mp-756490,Li6MnS4,Li:0.54545455|Mn:0.09090909|S:0.36363636,Li;Mn;S,3,137,Tetragonal,0.0,1.8486,True,,,2023-10-08 06:10:38.088000+00:00,redox_electronic_risk,Mn,-6.7256613698732695,0.29450017763456865,5.1308921074023015,154,not_applicable
2026.04.13,mp-756811,Li4TiS4,Li:0.44444444|S:0.44444444|Ti:0.11111111,Li;S;Ti,3,63,Orthorhombic,0.025013956944444,2.1619,True,,,2021-02-20 09:30:30.900000+00:00,screen_candidate,outside OBELiX composition set,-6.438284208286736,0.2382872356235137,5.5711151074456655,137,unflagged
2026.04.13,mp-758969,Li2Mn(SO4)2,Li:0.15384615|Mn:0.07692308|O:0.61538462|S:0.15384615,Li;Mn;O;S,4,61,Orthorhombic,0.0135331186538456,4.3788,True,,,2021-02-06 11:29:29.275000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-7.241009636680034,0.37796569618727965,3.3220123981981233,186,not_applicable
2026.04.13,mp-759347,Li2V(SO4)2,Li:0.15384615|O:0.61538462|S:0.15384615|V:0.07692308,Li;O;S;V,4,61,Orthorhombic,0.0362928325708509,3.4122000000000003,True,,,2021-02-05 10:27:58.554000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-7.8707649817398915,0.3123419901221708,2.419860405873527,211,not_applicable
2026.04.13,mp-760375,Li3VS4,Li:0.37500000|S:0.50000000|V:0.12500000,Li;S;V,3,215,Cubic,0.0,1.8832,True,,,2023-10-07 13:13:42.404000+00:00,redox_electronic_risk,V,-6.895979979081939,0.3460970007328359,5.145792211636639,173,not_applicable
2026.04.13,mp-760415,Li3SbS4,Li:0.37500000|S:0.50000000|Sb:0.12500000,Li;S;Sb,3,121,Tetragonal,0.0048649418749988,2.0975,True,,,2023-10-08 05:30:55.298000+00:00,obelix_composition_reference,measured composition in OBELiX,-7.9830328404181925,0.1932459311682185,2.9776745801603193,214,not_applicable
2026.04.13,mp-764857,Li2Ni2(SO4)3,Li:0.10526316|Ni:0.10526316|O:0.63157895|S:0.15789474,Li;Ni;O;S,4,61,Orthorhombic,0.0384696875657892,3.6558,True,,,2014-04-17 08:06:36+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.489519299873993,0.20903582043354732,5.3710996709204135,147,not_applicable
2026.04.13,mp-765354,Li2Co2(SO4)3,Co:0.10526316|Li:0.10526316|O:0.63157895|S:0.15789474,Co;Li;O;S,4,61,Orthorhombic,0.0324299620394743,2.7744,True,,,2019-11-05 09:30:52.090000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.845543718681456,0.2548666783590178,5.914058305524966,162,not_applicable
