database_version,material_id,formula,composition_key,elements,n_elements,spacegroup_no,crystal_system,e_above_hull,band_gap,theoretical,icsd_ids,pauling_ids,last_updated
2026.04.13,mp-34477,LiSmS2,Li:0.25000000|S:0.50000000|Sm:0.25000000,Li;S;Sm,3,141,Tetragonal,0.004678905000000455,1.9213999999999998,True,,,2023-10-07 04:48:13.490000+00:00
2026.04.13,mp-35591,LiErS2,Er:0.25000000|Li:0.25000000|S:0.50000000,Er;Li;S,3,141,Tetragonal,0.006727233749998618,1.9886999999999997,True,,,2023-10-07 04:35:45.704000+00:00
2026.04.13,mp-3647,LiGaS2,Ga:0.25000000|Li:0.25000000|S:0.50000000,Ga;Li;S,3,33,Orthorhombic,0.0,2.9608,False,icsd-68465;icsd-96914,,2021-03-13 21:05:37.203000+00:00
2026.04.13,mp-36791,LiNdS2,Li:0.25000000|Nd:0.25000000|S:0.50000000,Li;Nd;S,3,141,Tetragonal,0.020528524062502385,1.8575,True,,,2023-10-07 10:50:45.829000+00:00
2026.04.13,mp-4556,Li2SO4,Li:0.28571429|O:0.57142857|S:0.14285714,Li;O;S,3,14,Monoclinic,0.0,6.02323767381971,False,icsd-23723;icsd-2512;icsd-30276;icsd-58,,2023-10-07 23:14:18.324000+00:00
2026.04.13,mp-510338,Cs2LiVS4,Cs:0.25000000|Li:0.12500000|S:0.50000000|V:0.12500000,Cs;Li;S;V,4,70,Orthorhombic,0.0,1.5880362099747067,False,icsd-414186,,2021-02-06 14:03:38.967000+00:00
2026.04.13,mp-532413,Li5B7S13,B:0.28000000|Li:0.20000000|S:0.52000000,B;Li;S,3,9,Monoclinic,0.0,3.5527999999999995,True,,,2021-11-21 22:01:12.342000+00:00
2026.04.13,mp-532590,LiMgCr7(SO4)12,Cr:0.10144928|Li:0.01449275|Mg:0.01449275|O:0.69565217|S:0.17391304,Cr;Li;Mg;O;S,5,1,Triclinic,0.004807484221021063,2.7801,True,,,2021-02-09 12:41:05.955000+00:00
2026.04.13,mp-553962,Rb2LiNbS4,Li:0.12500000|Nb:0.12500000|Rb:0.25000000|S:0.50000000,Li;Nb;Rb;S,4,2,Triclinic,0.0,2.306,False,icsd-414189,,2021-02-06 21:54:35.693000+00:00
2026.04.13,mp-554076,BaLiBS3,B:0.16666667|Ba:0.16666667|Li:0.16666667|S:0.50000000,B;Ba;Li;S,4,14,Monoclinic,0.0,2.1531,False,icsd-82352,,2021-02-15 22:52:47.983000+00:00
2026.04.13,mp-554395,Na5Li3(TiS4)2,Li:0.16666667|Na:0.27777778|S:0.44444444|Ti:0.11111111,Li;Na;S;Ti,4,15,Monoclinic,0.0,2.2479,False,icsd-391258,,2021-02-15 20:26:24.911000+00:00
2026.04.13,mp-554782,Li2Ga2GeS6,Ga:0.18181818|Ge:0.09090909|Li:0.18181818|S:0.54545455,Ga;Ge;Li;S,4,43,Orthorhombic,0.03543283130681818,2.1339,False,icsd-161763;icsd-195819,,2021-02-04 09:21:48.647000+00:00
2026.04.13,mp-555002,LiEr2S2O8F3,Er:0.12500000|F:0.18750000|Li:0.06250000|O:0.50000000|S:0.12500000,Er;F;Li;O;S,5,60,Orthorhombic,0.014181028124998107,6.0868,False,icsd-410044,,2021-02-09 07:25:37.506000+00:00
2026.04.13,mp-555090,LiBS4(ClO3)4,B:0.04545455|Cl:0.18181818|Li:0.04545455|O:0.54545455|S:0.18181818,B;Cl;Li;O;S,5,14,Monoclinic,0.0295049600473547,4.6226,False,icsd-16486,,2020-04-29 17:42:14.280000+00:00
2026.04.13,mp-555186,Li2ZnSnS4,Li:0.25000000|S:0.50000000|Sn:0.12500000|Zn:0.12500000,Li;S;Sn;Zn,4,7,Monoclinic,0.0,2.1985,False,icsd-419595,,2021-02-16 03:25:24.262000+00:00
2026.04.13,mp-556085,Rb2LiTaS4,Li:0.12500000|Rb:0.25000000|S:0.50000000|Ta:0.12500000,Li;Rb;S;Ta,4,2,Triclinic,0.0,2.7182,False,icsd-414188,,2021-02-16 15:08:34.994000+00:00
2026.04.13,mp-557892,BaLi(BS2)3,B:0.27272727|Ba:0.09090909|Li:0.09090909|S:0.54545455,B;Ba;Li;S,4,9,Monoclinic,0.0,2.8639,False,icsd-82353,,2021-02-17 02:47:27.327000+00:00
2026.04.13,mp-557962,SrLiBS3,B:0.16666667|Li:0.16666667|S:0.50000000|Sr:0.16666667,B;Li;S;Sr,4,62,Orthorhombic,0.0008485134722171495,2.3921999999999994,False,icsd-380105,,2021-02-22 23:15:20.025000+00:00
2026.04.13,mp-557964,Li9S3N,Li:0.69230769|N:0.07692308|S:0.23076923,Li;N;S,3,221,Cubic,0.007899086153846824,2.4272,False,icsd-240749,,2021-03-13 22:44:10.442000+00:00
2026.04.13,mp-557969,LiLa2S2O8F3,F:0.18750000|La:0.12500000|Li:0.06250000|O:0.50000000|S:0.12500000,F;La;Li;O;S,5,15,Monoclinic,0.010022679244788613,4.5891,False,icsd-410043,,2021-02-04 17:49:21.338000+00:00
2026.04.13,mp-558219,SrLi(BS2)3,B:0.27272727|Li:0.09090909|S:0.54545455|Sr:0.09090909,B;Li;S;Sr,4,9,Monoclinic,0.0,2.91,False,icsd-79616,,2021-02-04 10:56:04.059000+00:00
2026.04.13,mp-558731,Li2TeS3,Li:0.33333333|S:0.50000000|Te:0.16666667,Li;S;Te,3,14,Monoclinic,0.0,1.8764999999999996,False,icsd-415120,,2022-04-29 23:09:17.935000+00:00
2026.04.13,mp-558815,Rb2LiVS4,Li:0.12500000|Rb:0.25000000|S:0.50000000|V:0.12500000,Li;Rb;S;V,4,70,Orthorhombic,0.0,1.5836000000000001,False,icsd-414185,,2022-06-09 01:18:11.108000+00:00
2026.04.13,mp-559238,CsLi2BS3,B:0.14285714|Cs:0.14285714|Li:0.28571429|S:0.42857143,B;Cs;Li;S,4,62,Orthorhombic,0.0,3.0936,False,icsd-411530,,2021-02-09 13:10:59.086000+00:00
2026.04.13,mp-559719,LiPr(SO4)2,Li:0.08333333|O:0.66666667|Pr:0.08333333|S:0.16666667,Li;O;Pr;S,4,14,Monoclinic,0.0,5.2829,False,icsd-200311,,2021-02-10 12:39:38.176000+00:00
