material_id,formula,Family,spacegroup_no,e_above_hull,band_gap,pred_log10_sigma,pred_sigma_S_cm
mp-1147605,Li6Zn3(PS4)4,unknown,4,0.0065711678448270305,2.6774999999999998,-6.043764725338924,9.041391493489907e-07
mp-766540,Li4TiS4,unknown,62,0.0,2.3658,-6.049334138064959,8.926184555017055e-07
mp-1222482,Li6AsS5I,unknown,1,0.0,1.5398,-6.088094100520186,8.164054579852934e-07
mp-29829,LiAuS,unknown,70,0.0,1.5804,-6.088718745903421,8.152320667568629e-07
mp-555090,LiBS4(ClO3)4,unknown,14,0.0295049600473547,4.6226,-6.102123925771879,7.904530403291594e-07
mp-553962,Rb2LiNbS4,unknown,2,0.0,2.306,-6.1074600836644475,7.808002007793139e-07
mp-1147630,Li10Zn7(PS4)8,unknown,4,0.006531479605262902,2.6864000000000003,-6.109267282518225,7.775578629646462e-07
mp-1147738,Li4Zn(PS4)2,unknown,1,0.01398713983333355,2.5355999999999996,-6.126349490701218,7.475676667037044e-07
mp-1147741,Li4Zn(PS4)2,unknown,1,0.013820400083333517,2.6315,-6.130460349588111,7.405248731358455e-07
mp-1147686,Li10Zn(PS4)4,unknown,1,0.00751255685483887,2.4480000000000004,-6.135508576452523,7.319668681667809e-07
mp-19896,Li2GePbS4,thio-LISICON,121,0.0,2.2649000000000004,-6.167741520781543,6.796079948319504e-07
mp-1147692,Li10Zn(PS4)4,unknown,1,0.006821347338710204,2.6896000000000004,-6.19025061659581,6.45281751389503e-07
mp-1147627,Li10Zn7(PS4)8,unknown,1,0.0051426498684215005,2.6681,-6.218350911725922,6.048519543911582e-07
mp-1188124,LiAl(PS3)2,unknown,15,0.0,2.749142152725869,-6.227991716591266,5.915729172880686e-07
mp-754856,Li7Y7ZrS16,unknown,10,0.006665655483870658,1.7430999999999996,-6.276417906372977,5.291540124492625e-07
mp-1147591,Li6Zn3(PS4)4,unknown,3,0.00896511353448215,2.6651,-6.299404602883788,5.018748087390363e-07
mp-1147617,Li6Zn3(PS4)4,unknown,4,0.009941809913793342,2.6824,-6.299404602883788,5.018748087390363e-07
mp-1147724,Li4Zn(PS4)2,unknown,4,0.00943524366666626,2.718,-6.303150242887635,4.975649240919672e-07
mp-691187,LiPrS2,unknown,1,0.04099099062500233,1.8862,-6.329997832417585,4.6773747577920623e-07
mp-1147726,Li4Zn(PS4)2,unknown,1,0.011910579944443889,2.3985,-6.332196973562586,4.653749755800566e-07
mp-558219,SrLi(BS2)3,unknown,9,0.0,2.91,-6.369759269769535,4.268160381593159e-07
mp-554782,Li2Ga2GeS6,thio-LISICON,43,0.03543283130681818,2.1339,-6.379078352810645,4.1775499099270984e-07
mp-1147685,Li10Zn(PS4)4,unknown,7,0.007209804274193488,2.5073,-6.411581363368523,3.8763112053659667e-07
mp-1147687,Li10Zn(PS4)4,unknown,7,0.007094447661290637,2.5782000000000003,-6.412841970924837,3.865075920712036e-07
mp-1147684,Li10Zn(PS4)4,unknown,7,0.007364474919355324,2.5761,-6.412841970924837,3.865075920712036e-07
mp-1147681,Li10Zn(PS4)4,unknown,7,0.007379458467742239,2.5017999999999994,-6.412841970924837,3.865075920712036e-07
mp-1021497,Li2SiSnS4,thio-LISICON,121,0.016868490312500484,1.9994999999999998,-6.417006788379759,3.828187594981544e-07
mp-950995,Li6PS5I,argyrodites,9,0.0021249259615379046,2.2742,-6.432677070615985,3.692520621525218e-07
mp-559238,CsLi2BS3,unknown,62,0.0,3.0936,-6.434007399133453,3.681227018331618e-07
mp-1147732,Li4Zn(PS4)2,unknown,1,0.011516444388888658,2.6636000000000006,-6.438840105417964,3.6404904371401606e-07
mp-1147725,Li4Zn(PS4)2,unknown,1,0.011662688166666157,2.6555000000000004,-6.469109516057778,3.395396400685587e-07
mp-1147723,Li4Zn(PS4)2,unknown,1,0.010870686833333032,2.7102000000000004,-6.494392936166095,3.2033697034892526e-07
mp-1147727,Li4Zn(PS4)2,unknown,1,0.011836537055555318,2.6745,-6.495593551285002,3.1945261584650834e-07
mp-1147729,Li4Zn(PS4)2,unknown,1,0.011465264611111081,2.7876000000000003,-6.504623790644646,3.128788519284843e-07
mp-1020018,Li5B(SO4)4,unknown,14,0.008201061346153615,6.108199999999999,-6.5161658615047084,3.046731189604545e-07
mp-1147606,Li6Zn3(PS4)4,unknown,4,0.007688271120689372,2.6809000000000003,-6.521204624134029,3.01158673715252e-07
mp-1190364,Li2SnS3,thio-LISICON,15,0.0006651347916664108,1.8306,-6.522051298273839,3.0057212499512943e-07
mp-769287,Li2TiS2O,unknown,14,0.027613073564816126,2.2463,-6.556325340042571,2.7776317000222037e-07
mp-1147696,Li10Zn(PS4)4,unknown,1,0.0067693783064521895,2.5218000000000007,-6.5584035274485615,2.7643719182080286e-07
mp-1147728,Li4Zn(PS4)2,unknown,7,0.01069993041666617,2.7622,-6.560558872080722,2.7506867021954785e-07
mp-1020060,LiB(S2O7)2,unknown,19,0.0,5.51,-6.563027005388884,2.7350986465516723e-07
mp-1211108,LiGd(SO4)2,unknown,118,0.0,2.6325,-6.572597922307919,2.675482272300736e-07
mp-1147694,Li10Zn(PS4)4,unknown,1,0.005377182822581261,2.6990999999999996,-6.630345633369121,2.342363902440831e-07
mp-1147698,Li10Zn(PS4)4,unknown,1,0.005642331854839533,2.718884345063006,-6.641375414359105,2.2836239317279968e-07
mp-756811,Li4TiS4,unknown,63,0.025013956944444082,2.1619,-6.6432455098829255,2.2738116648271943e-07
mp-573030,Cs2LiNbS4,unknown,2,0.0,2.4582,-6.6502651546538445,2.2373547243510264e-07
mp-1040450,Li5P(S2Cl)2,unknown,38,0.016335492291666753,2.7792999999999997,-6.684875923755929,2.0659703111852316e-07
mp-1147695,Li10Zn(PS4)4,unknown,1,0.005069962822581431,2.7251,-6.712603658112944,1.9381899704065987e-07
mp-28471,Li3AsS3,unknown,33,0.0,2.2848999999999995,-6.737985747290355,1.8281602118604336e-07
mp-755139,Li5BiS4,unknown,71,0.045051347999999436,1.7858000000000005,-6.738208349045474,1.8272234111109457e-07
mp-5614,Li3BS3,unknown,62,0.0,3.0495,-6.750056528256101,1.7780479622626174e-07
mp-675419,LiPrS2,unknown,9,0.03416889437500181,1.8884,-6.771670199189879,1.691725130614436e-07
mp-1195085,K2LiC3(SN)3,unknown,33,0.007317217743056048,4.4526,-6.790408431819293,1.6202855846201146e-07
mp-15999,Li3AuS2,unknown,72,0.0,2.0985,-6.805096485585176,1.5664030295295734e-07
mp-1147721,Li4Zn(PS4)2,unknown,4,0.011160197166666386,2.7225,-6.840002581489353,1.4454311789345094e-07
mp-558731,Li2TeS3,unknown,14,0.0,1.8764999999999996,-6.906722896565723,1.2395872581600323e-07
mp-29410,Li2B2S5,unknown,63,0.0,2.4427000000000003,-6.9164872736490075,1.2120282049304227e-07
mp-1191476,Li2In2GeS6,thio-LISICON,9,0.013810205852273327,2.3229000000000006,-6.946073213181278,1.132209479748114e-07
mp-1191903,Li2In2SiS6,thio-LISICON,9,0.004144318636364552,2.4279999999999995,-6.96923877786692,1.0733990884318783e-07
mp-557962,SrLiBS3,unknown,62,0.0008485134722171495,2.3921999999999994,-7.011027159258055,9.749286671817037e-08
mp-1147697,Li10Zn(PS4)4,unknown,1,0.007540467661290684,2.5244,-7.01182347641318,9.731426875420917e-08
mp-753520,Li3BiS3,unknown,33,0.0381694296428563,2.2533999999999996,-7.02524686007542,9.435244091503797e-08
mp-557892,BaLi(BS2)3,unknown,9,0.0,2.8639,-7.101321703631481,7.919145025040884e-08
mp-1147693,Li10Zn(PS4)4,unknown,1,0.006423594112903608,2.7628000000000004,-7.121262327530365,7.56375882180699e-08
mp-30249,Li4GeS4,thio-LISICON,62,7.778083333409569e-05,2.4834,-7.145932902642355,7.146067224104438e-08
mp-1097036,Li3PS4,sulfides,62,0.013829766249999764,2.8219000000000003,-7.155764201626926,6.986116093761603e-08
mp-641703,Li7P3S11,sulfides,2,0.019883183531745452,2.4142,-7.158458298210817,6.942912656925343e-08
mp-1211324,Li7PS6,sulfides,33,0.03252992321428483,2.0625999999999998,-7.158501724692119,6.942218447798917e-08
mp-1195718,Li4SnS4,thio-LISICON,62,0.0,2.8989000000000003,-7.163729945741549,6.859146112904653e-08
mp-985583,Li3PS4,sulfides,62,0.0,2.8095035353998923,-7.172236449118769,6.726103577598191e-08
mp-756316,Li3SbS4,unknown,31,0.0,2.1452,-7.181932905612402,6.577594471163545e-08
mp-1222582,Li4GeS4,thio-LISICON,33,0.026120664722221854,2.5087,-7.188831111436361,6.47394325695374e-08
mp-1188392,LiInS2,unknown,33,0.0,2.1957600466486826,-7.196841626829249,6.355626587718298e-08
mp-1147737,Li4Zn(PS4)2,unknown,1,0.011501505499999176,2.7368,-7.230900987867432,5.876233058893766e-08
mp-1222529,Li4GeS4,thio-LISICON,19,0.0,2.9683,-7.234516808082229,5.827512206991166e-08
mp-554076,BaLiBS3,unknown,14,0.0,2.1531,-7.237051333360346,5.793602123325311e-08
mp-1147734,Li4Zn(PS4)2,unknown,1,0.01177052883333296,2.7069950982334774,-7.273585986518965,5.326157606083896e-08
mp-2646995,Li3PS4,sulfides,121,0.007420595312500389,2.9579000000000004,-7.277259841479678,5.2812917378504065e-08
mp-555186,Li2ZnSnS4,thio-LISICON,7,0.0,2.1985,-7.3641161251086995,4.323981975110783e-08
mp-1189383,Li2CdGeS4,thio-LISICON,31,0.0,2.235934698116427,-7.44009765568323,3.629964220280755e-08
mp-557969,LiLa2S2O8F3,unknown,15,0.010022679244788613,4.5891,-7.474248613760144,3.355454747900231e-08
mp-1147735,Li4Zn(PS4)2,unknown,1,0.010367655833333878,2.7908,-7.538604309888345,2.8933148103265826e-08
mp-777931,Li2Sn2(SO4)3,thio-LISICON,61,0.031441868421047126,3.8156,-7.542373419459757,2.868313259414074e-08
mp-1194339,Li3SbS3,unknown,33,0.0,2.784,-7.555170595254983,2.7850269670406038e-08
mp-1210789,Li2SiS3,thio-LISICON,36,0.0,3.5926,-7.559704481326845,2.756103475018459e-08
mp-1188861,LiCSN,unknown,62,0.04100961794642899,3.8556000000000004,-7.564876600532708,2.7234750402845708e-08
mp-1188784,Li2CdSnS4,thio-LISICON,31,0.0,1.9346545269162678,-7.578706161074553,2.638115702539302e-08
mp-1203440,LiZnSO4F,unknown,62,0.0,4.2073,-7.589589226277478,2.5728281197645418e-08
mp-1265272,LiMgAl3(SO4)6,thio-LISICON,2,0.01088115303571957,5.8981,-7.596594337544844,2.5316616474374186e-08
mp-14646,Li2Mg2(SO4)3,unknown,60,0.0,5.6251999999999995,-7.636185088848556,2.3110796378174703e-08
mp-1210804,Li2ZnGeS4,thio-LISICON,31,0.0,2.1846,-7.64205963321533,2.2800289784662608e-08
mp-1147733,Li4Zn(PS4)2,unknown,1,0.011836717500000482,2.7862,-7.643394422226747,2.2730321463316936e-08
mp-1222350,LiMgSO4F,unknown,1,0.01124014046874855,5.9657,-7.743783330810224,1.803917489475181e-08
mp-555002,LiEr2S2O8F3,unknown,60,0.014181028124998107,6.0868,-7.74764635192726,1.787942912688339e-08
mp-7744,LiSO3F,unknown,12,0.0,5.7916,-7.844489393975092,1.4305749168567097e-08
mp-768755,Li2Sn2(SO4)3,thio-LISICON,60,0.03514805328946835,3.9623,-7.864575975891522,1.365916100120373e-08
mp-779809,LiSb(SO4)2,unknown,7,0.025203409062519277,3.2512,-7.9238087720350885,1.191766649609979e-08
mp-677680,LiMgAl3(SO4)6,thio-LISICON,2,0.016932808607148075,5.7139999999999995,-7.941532290128473,1.1441098112108867e-08
mp-1020106,LiB(SO4)2,unknown,7,0.0,6.3873999999999995,-7.961849546497436,1.0918185118011107e-08
mp-6726,CsLiSO4,unknown,14,0.0,5.2736,-8.025441240656162,9.431022030371543e-09
mp-3647,LiGaS2,thio-LISICON,33,0.0,2.9608,-8.03993799505238,9.121410579602953e-09
mp-1106183,LiAlS2,thio-LISICON,33,0.0,4.7954,-8.079626642932894,8.32479134568979e-09
mp-6783,NaLiSO4,unknown,159,0.00014546970238082935,5.5381,-8.080884355668116,8.300717703589617e-09
mp-1020013,Li2S2O7,unknown,62,0.0,5.5360000000000005,-8.181231035235115,6.5882332230068135e-09
mp-1176625,LiSn(SO4)2,thio-LISICON,7,0.017863445000005918,2.4086,-8.241774574174991,5.730934248981689e-09
mp-6800,KLiSO4,unknown,159,0.0,5.3245,-8.444229214235154,3.595595148483976e-09
mp-1105750,LiAu(S2O7)2,unknown,2,0.0,1.9833021813679452,-8.557185423212957,2.772136280809344e-09
mp-6597,CsLiSO4,unknown,62,0.003316206428570112,5.1697999999999995,-8.752657351652989,1.7674317336756937e-09
mp-559719,LiPr(SO4)2,unknown,14,0.0,5.2829,-8.833845566249224,1.466069077824789e-09
mp-14484,KNaLi2(SO4)2,unknown,19,0.0,5.2970999999999995,-8.989816099437167,1.0237263940707158e-09
mp-6179,KLiSO4,unknown,173,0.00019388714285728526,5.3221,-9.018140895867802,9.590894287136893e-10
mp-6318,KLiSO4,unknown,9,7.57285714287903e-05,5.3179,-9.391192794313053,4.0626293872671103e-10
mp-6211,RbLiSO4,unknown,14,0.0,5.2348,-9.48264557226177,3.291201162412411e-10
mp-1199446,RbLiSO4,unknown,7,0.011315496357141797,5.120900000000001,-9.639243544439784,2.294861370722974e-10
mp-1202217,RbLiSO4,unknown,14,0.0021257976785715726,6.1503,-10.056248995616663,8.785186881358524e-11
mp-560614,KLiSO4,unknown,33,0.008812724642857539,5.260300000000001,-10.171229036870201,6.741723909946608e-11
mp-4556,Li2SO4,unknown,14,0.0,6.02323767381971,-10.80543962496073,1.5651658913745916e-11
